parcel_id,hub_id,date,origin_zone,destination_zone,service_type,seller_type,parcel_size_band,parcel_weight_band,promised_delivery_days,actual_delivery_days,delivery_outcome,failure_reason,attempt_count,is_redelivery,was_late,customer_contact_made,priority_flag,peak_day_flag
P0000059,HUB_A_NORTH,2026-04-02,West,West,express,small_business,XS,3-5kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000060,HUB_A_NORTH,2026-04-02,Metro,Remote,standard,small_business,S,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000061,HUB_A_NORTH,2026-04-02,South,Metro,express,direct_seller,M,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000062,HUB_A_NORTH,2026-04-02,North,East,standard,small_business,S,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000063,HUB_A_NORTH,2026-04-02,South,River,standard,direct_seller,XS,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,TRUE,FALSE,FALSE
P0000064,HUB_A_NORTH,2026-04-02,River,River,express,marketplace,M,0-1kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000065,HUB_A_NORTH,2026-04-02,West,West,express,small_business,S,3-5kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000066,HUB_A_NORTH,2026-04-02,South,Metro,economy,marketplace,S,3-5kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000067,HUB_A_NORTH,2026-04-02,Metro,Metro,standard,marketplace,XL,5-10kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000068,HUB_A_NORTH,2026-04-02,North,Metro,economy,marketplace,S,1-3kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000069,HUB_A_NORTH,2026-04-02,River,East,standard,marketplace,XL,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000070,HUB_A_NORTH,2026-04-02,Metro,North,economy,small_business,M,0-1kg,3,5,failed,customer not available,3,TRUE,TRUE,TRUE,FALSE,FALSE
P0000071,HUB_A_NORTH,2026-04-02,South,West,standard,marketplace,S,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000072,HUB_A_NORTH,2026-04-02,East,Metro,standard,direct_seller,XS,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000073,HUB_A_NORTH,2026-04-02,West,South,standard,marketplace,M,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000074,HUB_A_NORTH,2026-04-02,Metro,River,standard,marketplace,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000075,HUB_A_NORTH,2026-04-02,West,South,standard,small_business,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000076,HUB_A_NORTH,2026-04-02,West,North,express,marketplace,XS,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,TRUE,TRUE,FALSE
P0000077,HUB_A_NORTH,2026-04-02,North,East,express,small_business,S,5-10kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000078,HUB_A_NORTH,2026-04-02,East,Metro,standard,enterprise,M,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000079,HUB_A_NORTH,2026-04-02,Metro,Metro,standard,small_business,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000080,HUB_A_NORTH,2026-04-02,River,Metro,standard,direct_seller,S,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000081,HUB_A_NORTH,2026-04-02,Metro,Remote,express,marketplace,M,3-5kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000082,HUB_A_NORTH,2026-04-02,West,East,standard,enterprise,S,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000083,HUB_A_NORTH,2026-04-02,River,South,economy,marketplace,M,3-5kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000084,HUB_A_NORTH,2026-04-02,Metro,Metro,economy,enterprise,S,1-3kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000085,HUB_A_NORTH,2026-04-02,East,West,economy,direct_seller,M,1-3kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000086,HUB_A_NORTH,2026-04-02,East,West,standard,direct_seller,XS,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000087,HUB_A_NORTH,2026-04-02,West,South,standard,direct_seller,S,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000088,HUB_A_NORTH,2026-04-02,Metro,River,economy,marketplace,M,10kg+,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000089,HUB_A_NORTH,2026-04-03,South,Remote,standard,marketplace,S,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000090,HUB_A_NORTH,2026-04-03,North,West,standard,marketplace,XS,0-1kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000091,HUB_A_NORTH,2026-04-03,West,West,standard,direct_seller,XS,0-1kg,2,2,delivered_on_time,,3,TRUE,FALSE,TRUE,FALSE,FALSE
P0000092,HUB_A_NORTH,2026-04-03,North,Metro,standard,enterprise,M,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000093,HUB_A_NORTH,2026-04-03,Metro,River,standard,marketplace,L,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000094,HUB_A_NORTH,2026-04-03,River,West,express,small_business,S,0-1kg,1,2,delivered_late,,1,FALSE,TRUE,FALSE,TRUE,FALSE
P0000095,HUB_A_NORTH,2026-04-03,South,River,standard,small_business,L,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000096,HUB_A_NORTH,2026-04-03,Metro,West,standard,enterprise,L,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000097,HUB_A_NORTH,2026-04-03,River,Metro,economy,marketplace,XS,3-5kg,3,3,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000098,HUB_A_NORTH,2026-04-03,North,West,standard,marketplace,L,0-1kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000099,HUB_A_NORTH,2026-04-03,Metro,North,express,small_business,M,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000100,HUB_A_NORTH,2026-04-03,West,East,standard,marketplace,XL,1-3kg,2,3,failed,routing delay,2,TRUE,TRUE,TRUE,FALSE,FALSE
P0000101,HUB_A_NORTH,2026-04-03,South,West,express,direct_seller,S,3-5kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000102,HUB_A_NORTH,2026-04-03,Metro,Metro,standard,marketplace,M,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000103,HUB_A_NORTH,2026-04-03,East,Metro,express,direct_seller,XS,1-3kg,1,2,delivered_late,,1,FALSE,TRUE,FALSE,TRUE,FALSE
P0000104,HUB_A_NORTH,2026-04-03,West,East,standard,enterprise,L,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000105,HUB_A_NORTH,2026-04-03,West,Metro,economy,small_business,M,1-3kg,3,3,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000106,HUB_A_NORTH,2026-04-03,West,East,standard,small_business,L,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000107,HUB_A_NORTH,2026-04-03,North,Remote,standard,direct_seller,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000108,HUB_A_NORTH,2026-04-03,East,Metro,standard,marketplace,M,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000109,HUB_A_NORTH,2026-04-03,West,West,express,small_business,M,3-5kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000110,HUB_A_NORTH,2026-04-03,South,East,express,direct_seller,XS,3-5kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000111,HUB_A_NORTH,2026-04-03,West,West,standard,direct_seller,L,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000112,HUB_A_NORTH,2026-04-03,River,River,express,small_business,L,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000113,HUB_A_NORTH,2026-04-03,South,River,standard,direct_seller,S,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000114,HUB_A_NORTH,2026-04-03,East,Metro,standard,direct_seller,S,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000115,HUB_A_NORTH,2026-04-03,South,West,standard,marketplace,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000116,HUB_A_NORTH,2026-04-03,Metro,West,express,direct_seller,XS,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000117,HUB_A_NORTH,2026-04-03,South,Metro,express,direct_seller,L,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000118,HUB_A_NORTH,2026-04-03,River,Remote,standard,marketplace,L,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000119,HUB_A_NORTH,2026-04-03,North,West,economy,small_business,M,0-1kg,3,3,failed,customer not available,1,FALSE,FALSE,TRUE,FALSE,FALSE
P0000120,HUB_A_NORTH,2026-04-03,River,North,standard,small_business,L,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000121,HUB_A_NORTH,2026-04-03,West,Metro,economy,direct_seller,L,5-10kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000122,HUB_A_NORTH,2026-04-03,East,East,economy,small_business,XS,1-3kg,3,4,delivered_late,,1,FALSE,TRUE,TRUE,FALSE,FALSE
P0000123,HUB_A_NORTH,2026-04-03,West,Metro,standard,marketplace,S,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000124,HUB_A_NORTH,2026-04-03,South,Remote,economy,enterprise,S,1-3kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000125,HUB_A_NORTH,2026-04-03,North,Metro,standard,direct_seller,M,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000126,HUB_A_NORTH,2026-04-03,East,Remote,express,marketplace,S,5-10kg,1,1,delivered_on_time,,2,TRUE,FALSE,TRUE,TRUE,FALSE
P0000127,HUB_A_NORTH,2026-04-03,East,East,standard,marketplace,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000128,HUB_A_NORTH,2026-04-03,South,North,standard,marketplace,XL,5-10kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000129,HUB_A_NORTH,2026-04-03,North,North,standard,direct_seller,M,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,TRUE,FALSE,FALSE
P0000130,HUB_A_NORTH,2026-04-03,River,Metro,standard,direct_seller,S,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000131,HUB_A_NORTH,2026-04-03,River,Metro,express,small_business,L,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000132,HUB_A_NORTH,2026-04-04,South,East,express,direct_seller,M,10kg+,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000133,HUB_A_NORTH,2026-04-04,South,Metro,express,direct_seller,M,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000134,HUB_A_NORTH,2026-04-04,North,Metro,standard,direct_seller,M,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000135,HUB_A_NORTH,2026-04-04,River,North,standard,direct_seller,M,0-1kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000136,HUB_A_NORTH,2026-04-04,River,Remote,standard,direct_seller,S,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000137,HUB_A_NORTH,2026-04-04,Metro,River,express,marketplace,XS,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000138,HUB_A_NORTH,2026-04-04,East,Metro,standard,marketplace,S,3-5kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000139,HUB_A_NORTH,2026-04-04,South,South,express,marketplace,L,5-10kg,1,1,delivered_on_time,,1,FALSE,FALSE,TRUE,TRUE,FALSE
P0000140,HUB_A_NORTH,2026-04-04,Metro,East,standard,marketplace,L,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000141,HUB_A_NORTH,2026-04-04,River,West,standard,marketplace,XS,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000142,HUB_A_NORTH,2026-04-04,Metro,Metro,standard,marketplace,M,3-5kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000143,HUB_A_NORTH,2026-04-04,South,Metro,standard,direct_seller,M,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000144,HUB_A_NORTH,2026-04-04,River,Metro,standard,marketplace,M,3-5kg,2,3,delivered_late,,1,FALSE,TRUE,FALSE,FALSE,FALSE
P0000145,HUB_A_NORTH,2026-04-04,East,South,standard,marketplace,XS,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,TRUE,FALSE
P0000146,HUB_A_NORTH,2026-04-04,Metro,West,standard,marketplace,L,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000147,HUB_A_NORTH,2026-04-04,North,Metro,standard,enterprise,XS,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000148,HUB_A_NORTH,2026-04-04,West,West,express,direct_seller,M,0-1kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000149,HUB_A_NORTH,2026-04-04,West,South,standard,marketplace,XS,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000150,HUB_A_NORTH,2026-04-04,West,East,standard,marketplace,M,3-5kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000151,HUB_A_NORTH,2026-04-04,River,South,standard,marketplace,XS,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,TRUE,FALSE
P0000152,HUB_A_NORTH,2026-04-04,Metro,Metro,standard,small_business,XL,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000153,HUB_A_NORTH,2026-04-04,North,North,economy,marketplace,M,5-10kg,3,3,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000154,HUB_A_NORTH,2026-04-04,Metro,North,express,marketplace,M,3-5kg,1,2,delivered_late,,1,FALSE,TRUE,FALSE,TRUE,FALSE
P0000155,HUB_A_NORTH,2026-04-04,East,West,standard,marketplace,S,1-3kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000156,HUB_A_NORTH,2026-04-04,River,Metro,express,small_business,M,1-3kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000157,HUB_A_NORTH,2026-04-04,River,East,express,direct_seller,M,0-1kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000158,HUB_A_NORTH,2026-04-04,River,Metro,express,enterprise,M,3-5kg,1,1,delivered_on_time,,2,TRUE,FALSE,TRUE,TRUE,FALSE
P0000159,HUB_A_NORTH,2026-04-04,West,East,standard,marketplace,L,1-3kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000160,HUB_A_NORTH,2026-04-04,West,North,standard,marketplace,L,3-5kg,2,2,delivered_on_time,,2,TRUE,FALSE,TRUE,FALSE,FALSE
P0000161,HUB_A_NORTH,2026-04-04,Metro,East,standard,direct_seller,M,0-1kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
P0000162,HUB_A_NORTH,2026-04-04,West,South,express,marketplace,M,5-10kg,1,1,delivered_on_time,,1,FALSE,FALSE,FALSE,TRUE,FALSE
P0000163,HUB_A_NORTH,2026-04-04,South,West,standard,marketplace,XS,5-10kg,2,2,delivered_on_time,,1,FALSE,FALSE,FALSE,FALSE,FALSE
